product_name,price,image_url,video_url
840 BRICK BLOCK 549 PCS,₹1740,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OfYyfwQ9OcM24HNrPDL.jpg,
820 BRICK BLOCK,₹2430,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OfYyJxA0OjjkPuDQatn.jpg,
829 BRICK BLOCK 729PCS,₹2100,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OfYyBMUUhXRL0VReTsv.jpg,
3312 PIANO DRESSER,₹1650,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OeGf1W58Aai8Zu4HrBI.jpg,
SGT BABY GYM RC WITH REMOTE,₹1050,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OeGd7KX6td6GVe7UjBc.jpg,
1126 2IN1 PIANO RACK & WALKER ( BULK DISCOUNT),₹1100,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OeGaLOuhVzRADIRNbP5.jpg,
TOY BOI 6981 SPACE WALKING CAR,₹1250,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OdYj7X0ty_RXuTKR7MY.jpg,
SPACE ROCKET 008-501,₹1350,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-ObbHLdtNzMwiF8vfLfa.jpg,
2in1 PITCHER GAME,₹1540,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OaxpkIWuJKgqATm8CDh.jpg,
TELESCOPE 1001 GUANGXUEBAO,₹1400,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OaxYPjDtFmbZrMs29_B.jpg,
20335 JR. DRUM BEAT SET,₹1650,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OaxXK__CVHinDsG2M1M.jpg,
668- 3 PRETTY DOLL HOUSE,₹2100,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OWoUvSM4hknlcvVW1ts.jpg,
HOME TOILET,₹980,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OWa0CJqMB8uh-CaMUb8.jpg,
